id,language,value,description,year,latitude,longitude,genus,family,source,id_url,language_url,source_url
jpn,Japanese,1,Words derived from Sinitic cha,995,37,140,Japanese,Japanese,Malherbe and Rosenberg 1996,http://wals.info/valuesets/138A-jpn,http://wals.info/languoid/lect/wals_code_jpn,http://wals.info/refdb/record/Malherbe-and-Rosenberg-1996[995]
juh,Ju|'hoan,2,Words derived from Min Nan Chinese te,NA,-19,21,Ju-Kung,Kxa,Dickens 1994,http://wals.info/valuesets/138A-juh,http://wals.info/languoid/lect/wals_code_juh,http://wals.info/refdb/record/Dickens-1994
kab,Kabardian,1,Words derived from Sinitic cha,NA,43.5,43.5,Northwest Caucasian,Northwest Caucasian,Kardanov and Bicoev 1955,http://wals.info/valuesets/138A-kab,http://wals.info/languoid/lect/wals_code_kab,http://wals.info/refdb/record/Kardanov-and-Bicoev-1955
kaz,Kazakh,1,Words derived from Sinitic cha,1042,50,70,Turkic,Altaic,Malherbe and Rosenberg 1996,http://wals.info/valuesets/138A-kaz,http://wals.info/languoid/lect/wals_code_kaz,http://wals.info/refdb/record/Malherbe-and-Rosenberg-1996[1042]
kbl,Kabyle,3,Others,1012,36.5,5,Berber,Afro-Asiatic,Malherbe and Rosenberg 1996,http://wals.info/valuesets/138A-kbl,http://wals.info/languoid/lect/wals_code_kbl,http://wals.info/refdb/record/Malherbe-and-Rosenberg-1996[1012]
ket,Ket,3,Others,249,64,87,Yeniseian,Yeniseian,Werner 1997a,http://wals.info/valuesets/138A-ket,http://wals.info/languoid/lect/wals_code_ket,http://wals.info/refdb/record/Werner-1997a[249]
keu,Kenyah (Uma' Lung),2,Words derived from Min Nan Chinese te,NA,3,115.833333333,North Borneo,Austronesian,NA,http://wals.info/valuesets/138A-keu,http://wals.info/languoid/lect/wals_code_keu,NA
kgz,Kirghiz,1,Words derived from Sinitic cha,NA,42,75,Turkic,Altaic,Hebert and Poppe 1963,http://wals.info/valuesets/138A-kgz,http://wals.info/languoid/lect/wals_code_kgz,http://wals.info/refdb/record/Hebert-and-Poppe-1963
kha,Khalkha,1,Words derived from Sinitic cha,1222,47,105,Mongolic,Altaic,Malherbe and Rosenberg 1996,http://wals.info/valuesets/138A-kha,http://wals.info/languoid/lect/wals_code_kha,http://wals.info/refdb/record/Malherbe-and-Rosenberg-1996[1222]
khk,Khakas,1,Words derived from Sinitic cha,NA,53,90,Turkic,Altaic,Baskakov and Inkizekova-Grekyl 1953,http://wals.info/valuesets/138A-khk,http://wals.info/languoid/lect/wals_code_khk,http://wals.info/refdb/record/Baskakov-and-Inkizekova-Grekyl-1953
